stamp,source,build,klass,actual,tc,conf,peak,fft90,op,bc,bcPk,peakR,aimR,pkOverAim,rOuterAim_widest,gOuterAim,gNoise,snrWidest,disagreePxWidest,polarMs,method
report_2026-05-01_14-56-37-862Z,xl-device,b117,XL,48,48,1.000,48,12,13,48,48,408,450,0.907,379,15.63,3.90,4.003,29,104,"bc-consensus+peak"
report_2026-05-01_15-00-42-140Z,xl-device,b117,XL,48,48,1.000,48,12,26,48,48,408,450,0.907,373,16.62,2.15,7.719,35,85,"bc-consensus+peak"
report_2026-05-01_15-03-56-895Z,xl-device,b117,XL,48,48,0.919,48,12,10,48,47,408,450,0.907,363,17.23,2.00,8.620,45,86,"bc-consensus"
report_2026-05-01_15-06-13-796Z,xl-device,b117,XL,50,50,1.000,50,24,24,50,50,408,450,0.907,383,14.58,12.52,1.165,25,93,"bc-consensus+peak"
report_2026-05-01_15-08-16-433Z,xl-device,b117,XL,50,50,1.000,50,24,24,50,49,395,450,0.878,360,10.86,15.17,0.716,35,85,"bc-consensus+peak"
report_2026-05-01_15-10-25-896Z,xl-device,b117,XL,50,50,1.000,50,24,24,50,50,421,450,0.936,406,19.08,18.08,1.056,15,90,"bc-consensus"
report_2026-05-01_15-12-27-152Z,xl-device,b117,XL,52,36,0.043,0,12,30,52,36,0,450,0.000,361,11.72,4.72,2.484,361,97,"retry-bc-peaks"
report_2026-05-01_15-14-08-511Z,xl-device,b117,XL,52,22,0.000,0,22,10,10,17,0,450,0.000,0,0.00,0.00,-,0,93,"fft90-fallback"
report_2026-05-01_15-20-25-637Z,xl-device,b117,XL,52,52,0.626,0,12,17,52,52,0,450,0.000,0,0.00,0.00,-,0,93,"retry-bc-consensus+chainring-pk"
report_2026-05-01_15-21-57-850Z,xl-device,b117,XL,52,52,0.777,52,52,20,52,52,382,450,0.849,369,14.06,2.33,6.038,13,85,"bc-consensus+peak"
report_2026-05-01_15-28-06-337Z,xl-device,b117,XL,36,30,0.078,0,30,20,31,36,0,450,0.000,365,17.37,21.38,0.812,365,103,"fft90-fallback"
report_2026-05-01_15-30-03-986Z,xl-device,b117,XL,36,30,0.000,34,30,10,31,35,382,450,0.849,374,30.04,24.97,1.203,8,90,"fft90-fallback"
report_2026-05-01_15-37-16-032Z,xl-device,b117,XL,36,36,1.000,36,36,10,36,35,382,450,0.849,360,16.47,26.41,0.623,22,86,"bc-consensus+peak+pap1059-chainring-tc-confirmed"
2026-04-05_08-32-48-875Z,11t-cluster,b24,Small,11,10,0.000,0,17,10,10,12,0,338,0.000,0,0.00,0.00,-,0,61,"bc-consensus"
2026-04-05_08-33-27-869Z,11t-cluster,b24,Small,11,11,0.000,0,34,16,11,9,0,338,0.000,367,3.87,9.74,0.397,367,85,"bc-fft"
2026-04-05_08-34-06-051Z,11t-cluster,b24,Small,11,11,0.694,0,28,11,11,11,0,338,0.000,0,0.00,0.00,-,0,63,"bc-consensus"
2026-04-05_14-40-38-072Z,11t-cluster,b26,Small,11,11,0.000,29,36,12,11,13,304,338,0.901,281,2.93,7.11,0.412,23,74,"bc-consensus"
2026-04-05_20-05-36-867Z,11t-cluster,b29,Small,11,19,0.000,0,11,11,10,19,0,338,0.000,0,0.00,0.00,-,0,70,"retry-bc-peaks"
2026-04-06_10-01-25-781Z,11t-cluster,b30,Small,11,11,0.000,15,36,22,11,13,304,338,0.901,281,3.28,9.83,0.334,23,81,"bc-consensus"
2026-04-19_11-32-11-962Z,11t-cluster,b80,Small,11,11,0.000,0,22,11,11,18,0,338,0.000,0,0.00,0.00,-,0,72,"bc-fft"
2026-04-19_11-33-29-608Z,11t-cluster,b80,Small,11,11,0.000,0,10,11,11,16,0,338,0.000,0,0.00,0.00,-,0,66,"bc-fft"
2026-04-21_19-02-17-555Z,11t-cluster,b86,Small,11,11,0.000,0,13,11,11,21,0,338,0.000,0,0.00,0.00,-,0,67,"bc-fft"
2026-04-22_18-55-06-131Z,11t-cluster,b89,Small,11,11,0.000,0,20,11,11,10,0,338,0.000,0,0.00,0.00,-,0,80,"bc-consensus"
2026-04-25_08-03-37-711Z,11t-cluster,b97,Small,11,10,0.000,0,10,11,13,9,0,338,0.000,0,0.00,0.00,-,0,67,"fft90-fallback"
