stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-16_11-24-27-889Z,15,Small  9-15T,15,0.809,1,0,0,0,0,2408,
2026-04-16_11-26-39-022Z,21,Large  21-28T,0,0.000,0,1,0,21,0,3097,
2026-04-16_11-28-05-397Z,24,Large  21-28T,24,0.407,1,0,0,0,0,1589,
2026-04-16_11-29-30-227Z,28,Large  21-28T,28,0.000,0,1,0,0,0,982,
2026-04-16_12-51-23-917Z,28,Large  21-28T,27,0.321,1,0,0,1,0,3709,
2026-04-17_10-56-48-692Z,15,Small  9-15T,15,0.722,1,0,0,0,0,4102,
2026-04-17_10-57-40-821Z,21,Large  21-28T,21,0.584,1,0,0,0,0,4470,
2026-04-17_11-01-34-218Z,24,Large  21-28T,0,0.000,0,1,0,24,0,3903,
2026-04-17_11-06-07-590Z,24,Large  21-28T,24,1.000,1,0,0,0,0,1586,
2026-04-17_11-20-52-371Z,28,Large  21-28T,27,0.392,1,0,0,1,0,1320,
2026-04-19_11-29-33-819Z,11,Small  9-15T,11,1.000,1,0,0,0,0,2399,
2026-04-19_11-30-52-252Z,11,Small  9-15T,11,1.000,1,0,0,0,0,2455,
2026-04-19_11-32-11-962Z,11,Small  9-15T,11,0.000,0,1,0,0,0,2005,
2026-04-19_11-33-29-608Z,11,Small  9-15T,11,0.000,0,1,0,0,0,1199,
2026-04-19_11-35-13-002Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1615,
2026-04-19_11-36-35-964Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1469,
2026-04-19_11-38-11-646Z,14,Small  9-15T,14,0.958,1,0,0,0,0,2913,
2026-04-19_11-39-50-191Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2037,
2026-04-19_11-41-53-620Z,15,Small  9-15T,15,1.000,1,0,0,0,0,3996,
2026-04-19_11-44-00-352Z,15,Small  9-15T,15,1.000,1,0,0,0,0,3286,
2026-04-19_11-47-09-582Z,15,Small  9-15T,15,1.000,1,0,0,0,0,2380,
2026-04-19_11-52-45-387Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1605,
2026-04-19_14-49-48-616Z,18,Mid    16-20T,18,0.000,0,1,0,0,0,2300,
2026-04-19_14-52-42-470Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,2587,
2026-04-19_14-53-55-150Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,1823,
2026-04-19_14-55-07-474Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,2180,
2026-04-19_14-56-58-230Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,5074,
2026-04-19_14-59-13-044Z,24,Large  21-28T,24,1.000,1,0,0,0,0,3476,
2026-04-19_15-00-49-192Z,24,Large  21-28T,24,1.000,1,0,0,0,0,1751,
2026-04-19_15-14-02-261Z,24,Large  21-28T,0,0.000,0,1,0,24,0,2844,
2026-04-19_15-18-58-719Z,21,Large  21-28T,21,0.671,1,0,0,0,0,1793,
2026-04-19_15-25-39-158Z,21,Large  21-28T,19,0.000,0,1,0,2,0,901,
2026-04-19_15-28-14-823Z,21,Large  21-28T,22,0.000,0,1,0,1,0,1605,
2026-04-19_15-30-17-488Z,21,Large  21-28T,11,0.000,0,1,0,10,0,1340,
2026-04-19_15-34-25-108Z,21,Large  21-28T,21,0.695,1,0,0,0,0,926,
2026-04-19_15-36-36-632Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1079,
2026-04-19_15-38-37-106Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1253,
2026-04-19_15-40-54-450Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1163,
2026-04-19_15-42-38-634Z,28,Large  21-28T,27,0.000,0,1,0,1,0,1521,
2026-04-19_15-44-52-340Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1609,
2026-04-19_15-47-20-296Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1228,
2026-04-19_15-49-28-586Z,28,Large  21-28T,28,1.000,1,0,0,0,0,1006,
2026-04-19_15-55-27-352Z,28,Large  21-28T,11,0.299,0,0,1,17,0,955,
2026-04-19_18-38-33-566Z,28,Large  21-28T,32,0.000,0,1,0,4,0,1176,
2026-04-19_18-40-16-373Z,28,Large  21-28T,28,1.000,1,0,0,0,0,872,
2026-04-19_18-42-36-869Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1293,
2026-04-19_18-44-38-938Z,28,Large  21-28T,27,0.514,1,0,0,1,0,1260,
2026-04-19_18-47-36-063Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1174,
2026-04-19_18-54-04-915Z,24,Large  21-28T,20,0.235,0,0,1,4,0,1447,
2026-04-19_18-56-13-322Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1486,
2026-04-19_19-03-10-890Z,24,Large  21-28T,10,0.000,0,1,0,14,0,1165,
2026-04-19_19-09-53-902Z,24,Large  21-28T,24,1.000,1,0,0,0,0,962,
2026-04-19_19-16-13-389Z,21,Large  21-28T,21,0.769,1,0,0,0,0,1275,
2026-04-19_19-18-34-054Z,21,Large  21-28T,0,0.000,0,1,0,21,0,1089,
2026-04-19_19-21-03-594Z,21,Large  21-28T,21,0.853,1,0,0,0,0,1006,
2026-04-19_19-24-04-821Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,742,
2026-04-19_19-26-17-731Z,18,Mid    16-20T,18,0.000,0,1,0,0,0,1297,
2026-04-19_19-32-49-661Z,18,Mid    16-20T,22,0.000,0,1,0,4,0,704,
2026-04-19_19-34-56-274Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,881,
2026-04-19_19-37-22-257Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,733,
2026-04-19_19-39-54-752Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,742,
2026-04-19_19-42-17-872Z,18,Mid    16-20T,18,0.938,1,0,0,0,0,775,
2026-04-19_19-44-35-557Z,15,Small  9-15T,12,0.000,0,1,0,3,0,1097,
2026-04-19_19-52-28-596Z,15,Small  9-15T,15,1.000,1,0,0,0,0,649,
2026-04-19_19-55-01-676Z,15,Small  9-15T,15,1.000,1,0,0,0,0,836,
2026-04-19_19-57-22-929Z,15,Small  9-15T,15,1.000,1,0,0,0,0,841,
2026-04-19_20-05-09-636Z,15,Small  9-15T,10,0.000,0,1,0,5,0,824,
2026-04-19_20-07-45-725Z,14,Small  9-15T,14,1.000,1,0,0,0,0,846,
2026-04-19_20-10-05-159Z,14,Small  9-15T,14,1.000,1,0,0,0,0,653,
2026-04-19_20-12-01-564Z,14,Small  9-15T,14,1.000,1,0,0,0,0,623,
2026-04-19_20-14-09-805Z,14,Small  9-15T,14,1.000,1,0,0,0,0,884,
2026-04-19_20-16-28-570Z,11,Small  9-15T,20,0.000,0,1,0,9,0,629,
2026-04-19_20-30-12-936Z,11,Small  9-15T,11,0.706,1,0,0,0,0,656,
2026-04-19_20-32-41-522Z,11,Small  9-15T,12,0.000,0,1,0,1,0,866,
2026-04-19_20-35-09-838Z,11,Small  9-15T,11,1.000,1,0,0,0,0,851,
2026-04-20_15-41-01-931Z,14,Small  9-15T,14,1.000,1,0,0,0,0,741,
2026-04-20_15-43-10-637Z,15,Small  9-15T,15,1.000,1,0,0,0,0,673,
2026-04-20_15-49-33-669Z,15,Small  9-15T,15,1.000,1,0,0,0,0,643,
2026-04-20_15-53-34-450Z,18,Mid    16-20T,44,0.039,0,0,1,26,0,1086,
2026-04-20_15-56-17-709Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,755,
2026-04-20_15-59-51-469Z,21,Large  21-28T,20,0.473,1,0,0,1,0,1460,
2026-04-20_16-03-44-377Z,21,Large  21-28T,21,1.000,1,0,0,0,0,1038,
2026-04-20_16-07-50-291Z,21,Large  21-28T,21,1.000,1,0,0,0,0,1347,
2026-04-20_16-18-45-790Z,24,Large  21-28T,24,0.921,1,0,0,0,0,919,
2026-04-20_16-22-09-223Z,24,Large  21-28T,24,1.000,1,0,0,0,0,909,
2026-04-20_16-26-12-721Z,24,Large  21-28T,27,0.000,0,1,0,3,0,1277,
2026-04-20_16-29-57-130Z,24,Large  21-28T,0,0.000,0,1,0,24,0,770,
2026-04-20_16-35-00-142Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1048,
2026-04-20_16-39-16-561Z,28,Large  21-28T,28,0.920,1,0,0,0,0,958,
2026-04-20_18-17-44-209Z,11,Small  9-15T,11,1.000,1,0,0,0,0,763,
2026-04-20_18-19-35-364Z,11,Small  9-15T,11,0.855,1,0,0,0,0,758,
2026-04-20_18-22-07-461Z,11,Small  9-15T,13,0.000,0,1,0,2,0,959,
2026-04-20_18-24-43-234Z,11,Small  9-15T,22,0.000,0,1,0,11,0,1000,
2026-04-21_05-22-00-958Z,28,Large  21-28T,22,0.000,0,1,0,6,0,1166,
2026-04-21_05-23-42-208Z,28,Large  21-28T,25,0.000,0,1,0,3,0,986,
2026-04-21_05-25-55-038Z,24,Large  21-28T,44,0.000,0,1,0,20,0,880,
2026-04-21_05-33-16-931Z,24,Large  21-28T,0,0.000,0,1,0,24,0,2009,
2026-04-21_05-42-18-885Z,21,Large  21-28T,20,0.000,0,1,0,1,0,1295,
2026-04-21_05-48-20-813Z,28,Large  21-28T,15,0.000,0,1,0,13,0,1316,
2026-04-21_05-51-52-636Z,28,Large  21-28T,22,0.308,0,0,1,6,0,1004,
2026-04-21_05-55-58-591Z,24,Large  21-28T,26,0.000,0,1,0,2,0,921,
2026-04-21_05-59-14-103Z,24,Large  21-28T,11,0.000,0,1,0,13,0,971,
2026-04-21_06-09-20-021Z,21,Large  21-28T,19,0.000,0,1,0,2,0,1106,
2026-04-21_06-12-45-465Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,783,
2026-04-21_06-14-34-553Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,821,
2026-04-21_06-16-35-545Z,15,Small  9-15T,15,1.000,1,0,0,0,0,806,
2026-04-21_06-18-32-006Z,15,Small  9-15T,18,0.000,0,1,0,3,0,1078,
2026-04-21_06-20-54-220Z,14,Small  9-15T,14,0.947,1,0,0,0,0,988,
2026-04-21_06-23-13-341Z,14,Small  9-15T,21,0.000,0,1,0,7,0,1251,
2026-04-21_06-25-02-778Z,11,Small  9-15T,11,1.000,1,0,0,0,0,645,
2026-04-21_19-00-40-900Z,11,Small  9-15T,11,1.000,1,0,0,0,0,824,
2026-04-21_19-02-17-555Z,11,Small  9-15T,11,0.000,0,1,0,0,0,752,
2026-04-21_19-03-45-218Z,14,Small  9-15T,14,1.000,1,0,0,0,0,799,
2026-04-21_19-06-43-980Z,14,Small  9-15T,14,1.000,1,0,0,0,0,804,
2026-04-21_19-08-20-758Z,15,Small  9-15T,28,0.000,0,1,0,13,0,1250,
2026-04-21_19-09-54-643Z,15,Small  9-15T,15,1.000,1,0,0,0,0,687,
2026-04-21_19-11-37-427Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,779,
2026-04-21_19-18-29-933Z,18,Mid    16-20T,18,0.270,1,0,0,0,0,1283,
2026-04-21_19-20-19-066Z,21,Large  21-28T,10,0.265,0,0,1,11,0,1340,
2026-04-21_19-26-08-385Z,21,Large  21-28T,20,0.000,0,1,0,1,0,1173,
2026-04-21_19-28-49-137Z,21,Large  21-28T,21,0.879,1,0,0,0,0,1287,
2026-04-21_19-30-41-277Z,24,Large  21-28T,28,0.307,0,0,1,4,0,1326,
2026-04-21_19-32-34-507Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1477,
2026-04-21_19-35-44-770Z,28,Large  21-28T,0,0.000,0,1,0,28,0,914,
2026-04-21_19-37-24-880Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1075,
2026-04-22_07-01-01-985Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1056,
2026-04-22_07-03-12-059Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1148,
2026-04-22_07-04-52-734Z,24,Large  21-28T,11,0.436,0,0,1,13,0,1042,
2026-04-22_07-06-35-244Z,24,Large  21-28T,24,0.331,1,0,0,0,0,1284,
2026-04-22_07-08-17-422Z,21,Large  21-28T,21,0.000,0,1,0,0,0,1179,
2026-04-22_07-10-07-868Z,21,Large  21-28T,10,0.000,0,1,0,11,0,1356,
2026-04-22_07-12-08-731Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,724,
2026-04-22_07-13-50-403Z,18,Mid    16-20T,18,0.000,0,1,0,0,0,1194,
2026-04-22_07-15-50-554Z,15,Small  9-15T,15,1.000,1,0,0,0,0,769,
2026-04-22_07-18-18-409Z,15,Small  9-15T,15,1.000,1,0,0,0,0,772,
2026-04-22_07-19-57-602Z,14,Small  9-15T,14,1.000,1,0,0,0,0,617,
