stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-05_13-31-32-807Z,14,Small  9-15T,14,0.839,1,0,0,0,0,810,
2026-04-05_14-34-16-932Z,15,Small  9-15T,15,1.000,1,0,0,0,0,890,
2026-04-05_14-35-16-858Z,15,Small  9-15T,15,1.000,1,0,0,0,0,869,
2026-04-05_14-36-18-288Z,14,Small  9-15T,14,1.000,1,0,0,0,0,816,
2026-04-05_14-37-17-240Z,14,Small  9-15T,14,1.000,1,0,0,0,0,816,
2026-04-05_14-38-39-916Z,13,Small  9-15T,13,0.000,0,1,0,0,0,697,
2026-04-05_14-39-43-491Z,13,Small  9-15T,13,1.000,1,0,0,0,0,796,
2026-04-05_14-40-38-072Z,11,Small  9-15T,11,0.000,0,1,0,0,0,791,
2026-04-05_14-41-38-021Z,11,Small  9-15T,11,1.000,1,0,0,0,0,797,
2026-04-05_16-50-12-545Z,11,Small  9-15T,11,1.000,1,0,0,0,0,687,
2026-04-05_17-30-18-613Z,11,Small  9-15T,11,1.000,1,0,0,0,0,670,
2026-04-05_17-37-19-161Z,11,Small  9-15T,11,1.000,1,0,0,0,0,615,
2026-04-05_17-39-11-112Z,13,Small  9-15T,13,1.000,1,0,0,0,0,817,
2026-04-05_17-42-01-194Z,14,Small  9-15T,14,1.000,1,0,0,0,0,820,
2026-04-05_17-42-25-166Z,14,Small  9-15T,14,1.000,1,0,0,0,0,802,
2026-04-05_17-45-32-734Z,15,Small  9-15T,15,1.000,1,0,0,0,0,896,
2026-04-05_20-05-36-867Z,11,Small  9-15T,11,0.000,0,1,0,0,0,755,
2026-04-05_20-11-19-230Z,13,Small  9-15T,13,1.000,1,0,0,0,0,888,
2026-04-05_20-12-48-480Z,13,Small  9-15T,13,1.000,1,0,0,0,0,836,
2026-04-05_20-14-33-985Z,15,Small  9-15T,14,1.000,0,0,1,1,0,809,
2026-04-06_08-15-57-376Z,14,Small  9-15T,14,1.000,1,0,0,0,0,835,
2026-04-06_09-24-05-913Z,15,Small  9-15T,14,0.924,0,0,1,1,0,766,
2026-04-06_10-01-25-781Z,11,Small  9-15T,11,0.000,0,1,0,0,0,1538,
2026-04-06_10-07-48-115Z,13,Small  9-15T,13,1.000,1,0,0,0,0,895,
2026-04-08_18-28-12-142Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,798,
2026-04-08_18-30-50-993Z,21,Large  21-28T,21,1.000,1,0,0,0,0,919,
2026-04-08_18-34-56-184Z,24,Large  21-28T,24,1.000,1,0,0,0,0,967,
2026-04-08_18-38-08-065Z,28,Large  21-28T,28,1.000,1,0,0,0,0,1112,
2026-04-08_18-41-35-308Z,15,Small  9-15T,15,1.000,1,0,0,0,0,990,
2026-04-08_18-44-08-940Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1074,
2026-04-08_18-46-36-879Z,11,Small  9-15T,11,1.000,1,0,0,0,0,908,
2026-04-08_19-46-53-896Z,28,Large  21-28T,28,1.000,1,0,0,0,0,960,
2026-04-08_19-49-12-150Z,24,Large  21-28T,20,0.000,0,1,0,4,0,1159,
2026-04-08_19-51-45-965Z,21,Large  21-28T,21,0.902,1,0,0,0,0,1009,
2026-04-08_19-54-20-313Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,1047,
2026-04-08_19-57-06-684Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1043,
2026-04-08_19-57-29-323Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1486,
2026-04-08_20-00-15-040Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2349,
2026-04-08_20-03-04-386Z,11,Small  9-15T,11,1.000,1,0,0,0,0,1731,
2026-04-11_17-06-39-977Z,14,Small  9-15T,14,1.000,1,0,0,0,0,844,
2026-04-11_17-08-43-082Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1044,
2026-04-11_17-10-50-735Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,1038,
2026-04-11_17-17-26-759Z,24,Large  21-28T,24,0.970,1,0,0,0,0,935,
2026-04-11_17-20-57-425Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1243,
2026-04-13_09-18-08-473Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1067,
2026-04-13_09-28-41-286Z,28,Large  21-28T,22,0.369,0,0,1,6,0,1028,
2026-04-13_09-30-06-934Z,24,Large  21-28T,24,0.554,1,0,0,0,0,1205,
2026-04-13_09-31-10-899Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,829,
2026-04-13_09-32-02-352Z,15,Small  9-15T,15,1.000,1,0,0,0,0,758,
2026-04-13_09-33-06-154Z,14,Small  9-15T,14,1.000,1,0,0,0,0,727,
2026-04-13_09-35-27-304Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1333,
2026-04-13_09-38-00-648Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1182,
2026-04-13_09-39-28-736Z,28,Large  21-28T,27,0.450,1,0,0,1,0,1337,
2026-04-16_11-22-08-032Z,18,Mid    16-20T,18,0.794,1,0,0,0,0,732,
2026-04-16_11-23-11-824Z,11,Small  9-15T,11,0.727,1,0,0,0,0,823,
2026-04-16_11-24-27-889Z,15,Small  9-15T,15,0.809,1,0,0,0,0,906,
2026-04-16_11-26-39-022Z,21,Large  21-28T,0,0.000,0,1,0,21,0,1215,
2026-04-16_11-28-05-397Z,24,Large  21-28T,24,0.407,1,0,0,0,0,1202,
2026-04-16_11-29-30-227Z,28,Large  21-28T,28,0.000,0,1,0,0,0,1017,
2026-04-16_12-51-23-917Z,28,Large  21-28T,27,0.321,1,0,0,1,0,1511,
2026-04-17_10-56-48-692Z,15,Small  9-15T,15,0.722,1,0,0,0,0,808,
2026-04-17_10-57-40-821Z,21,Large  21-28T,21,0.584,1,0,0,0,0,1510,
2026-04-17_11-01-34-218Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1237,
2026-04-17_11-06-07-590Z,24,Large  21-28T,24,1.000,1,0,0,0,0,1132,
2026-04-17_11-20-52-371Z,28,Large  21-28T,27,0.392,1,0,0,1,0,947,
2026-04-19_11-29-33-819Z,11,Small  9-15T,11,1.000,1,0,0,0,0,693,
2026-04-19_11-30-52-252Z,11,Small  9-15T,11,1.000,1,0,0,0,0,714,
2026-04-19_11-32-11-962Z,11,Small  9-15T,11,0.000,0,1,0,0,0,657,
2026-04-19_11-33-29-608Z,11,Small  9-15T,11,0.000,0,1,0,0,0,776,
2026-04-19_11-35-13-002Z,14,Small  9-15T,14,1.000,1,0,0,0,0,819,
2026-04-19_11-36-35-964Z,14,Small  9-15T,14,1.000,1,0,0,0,0,845,
2026-04-19_11-38-11-646Z,14,Small  9-15T,14,0.958,1,0,0,0,0,844,
2026-04-19_11-39-50-191Z,14,Small  9-15T,14,1.000,1,0,0,0,0,817,
