cell_idx,R_lo,R_hi,sigma_R,eps_abs,eps_floor,extremeR,gamma_bc,option_beta,ac2_N,ac2_LOSS,ac2_eliminated,ac2_first_loss_stamp,ac1_N,ac1_recovered,ac1_wilson_ub_pct,b6_rescue,b6_regress_correct_to_CW,b6_regress_abstain_to_CW,b6_regress_CW_worse_delta,b6_no_change_correct,b6_no_change_CW_same_or_better,alpha_commits,beta_fires,elapsed_ms
3625,0.4,1.1,0.25,0.03,0.08,1,1,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3626,0.4,1.1,0.25,0.03,0.08,1,1.3,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3627,0.4,1.1,0.25,0.03,0.08,1,1.3,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3628,0.4,1.1,0.25,0.03,0.08,1,1.6,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3629,0.4,1.1,0.25,0.03,0.08,1,1.6,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3630,0.4,1.1,0.25,0.03,0.08,1,2,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3631,0.4,1.1,0.25,0.03,0.08,1,2,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3632,0.4,1.1,0.25,0.03,0.1,0,1,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3633,0.4,1.1,0.25,0.03,0.1,0,1,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3634,0.4,1.1,0.25,0.03,0.1,0,1.3,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3635,0.4,1.1,0.25,0.03,0.1,0,1.3,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3636,0.4,1.1,0.25,0.03,0.1,0,1.6,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3637,0.4,1.1,0.25,0.03,0.1,0,1.6,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3638,0.4,1.1,0.25,0.03,0.1,0,2,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3639,0.4,1.1,0.25,0.03,0.1,0,2,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3640,0.4,1.1,0.25,0.03,0.1,1,1,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3641,0.4,1.1,0.25,0.03,0.1,1,1,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,4
3642,0.4,1.1,0.25,0.03,0.1,1,1.3,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3643,0.4,1.1,0.25,0.03,0.1,1,1.3,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3644,0.4,1.1,0.25,0.03,0.1,1,1.6,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3645,0.4,1.1,0.25,0.03,0.1,1,1.6,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3646,0.4,1.1,0.25,0.03,0.1,1,2,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3647,0.4,1.1,0.25,0.03,0.1,1,2,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3648,0.4,1.1,0.3,0.015,0.06,0,1,0,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,1
3649,0.4,1.1,0.3,0.015,0.06,0,1,1,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,1
