class,actual,stamp,w,h,aimR,anchorCx,anchorCy,peakR,rOuter,gearR,peakTc,bcTc,fft90,opTc,bcPeaks,tc,conf,innerSus,tcConsensus,outer_over_aimR_imputed,bolt_fired,bolt_bestN,bolt_matched,bolt_rogue,bolt_residual,bolt_rBpAim,bolt_phase0,bolt_strength,bolt_nPeaks,bolt_shortCircuit,ms_cost,predicateOutcome
XL,52,2026-04-26_08-54-51-262Z,675,900,337.5,337.0,449.5,73,70,0.1081,28,28,28,15,28,28,0.000,true,28,0.207,true,6,9,0,0.1311,0.7615,0.6216,382.44,9,,107,ABSTAIN
XL,42,2026-04-28_06-52-14-899Z,900,675,337.5,449.5,337.0,196,108,0.2178,11,10,10,15,1,10,0.292,false,15,0.320,true,6,7,1,0.1364,0.4652,0.6408,313.85,8,,82,ABSTAIN
XL,52,2026-04-28_06-58-55-390Z,900,675,337.5,449.5,337.0,176,152,0.1956,53,12,12,26,18,53,0.000,true,53,0.450,true,6,9,1,0.1436,0.4533,0.4199,387.85,10,,87,PROMOTE
XL,34,2026-04-28_14-18-32-698Z,675,900,337.5,337.0,449.5,242,142,0.3585,11,12,40,24,10,40,0.000,true,40,0.421,false,4,10,2,0.2094,0.4415,1.4941,725.56,12,,81,unchanged
XL,42,2026-04-28_18-34-58-887Z,675,900,337.5,337.0,449.5,255,206,0.3778,12,10,12,10,4,12,0.112,false,12,0.610,true,6,6,1,0.1312,0.6311,0.0253,235.33,7,,121,ABSTAIN
Small,12,2026-04-29_05-18-37-310Z,675,900,337.5,337.0,449.5,166,133,0.2459,12,12,12,12,12,12,1.000,false,12,0.394,true,6,8,0,0.1571,0.4474,0.6458,568.22,8,,110,ABSTAIN
XL,52,2026-04-29_05-37-44-380Z,675,900,337.5,337.0,449.5,208,149,0.3081,10,10,10,11,1,0,0.000,false,11,0.441,true,5,9,0,0.1659,0.4059,0.3761,406.30,9,,89,ABSTAIN
XL,42,2026-04-30_05-37-41-094Z,675,900,337.5,337.0,449.5,244,159,0.3615,10,11,10,10,4,0,0.000,false,11,0.471,true,5,6,0,0.1804,0.4593,0.2199,204.43,6,,82,ABSTAIN
Small,12,2026-04-30_05-41-00-183Z,675,900,337.5,337.0,449.5,161,158,0.2385,12,12,12,12,12,12,1.000,false,12,0.468,true,5,9,0,0.1923,0.5067,0.3343,482.92,9,,83,ABSTAIN
XL,34,2026-04-30_10-09-16-909Z,675,900,337.5,337.0,449.5,271,117,0.4015,13,13,11,12,6,11,0.441,false,13,0.347,false,5,11,4,0.1918,0.4356,0.8577,652.52,15,,83,unchanged
XL,34,2026-04-30_10-14-55-670Z,675,900,337.5,337.0,449.5,139,83,0.2059,11,10,11,24,5,11,0.000,true,24,0.246,true,4,9,1,0.3356,0.4237,0.0161,740.74,10,,95,ABSTAIN
XL,34,2026-04-30_10-17-13-321Z,675,900,337.5,337.0,449.5,175,166,0.2593,34,34,11,12,34,34,0.900,false,34,0.492,false,6,9,2,0.1572,0.4296,0.0182,547.82,11,,82,unchanged
XL,36,2026-04-30_10-19-29-950Z,675,900,337.5,337.0,449.5,151,129,0.2237,32,36,10,22,36,36,1.000,false,36,0.382,false,6,9,2,0.1255,0.4178,0.4758,495.71,11,,91,unchanged
XL,32,2026-04-30_11-41-12-489Z,675,900,337.5,337.0,449.5,235,173,0.3481,13,32,14,16,32,32,0.934,false,32,0.513,false,5,10,2,0.1503,0.4237,0.0515,330.35,12,,85,unchanged
XL,32,2026-04-30_11-42-53-294Z,675,900,337.5,337.0,449.5,285,162,0.4222,11,32,11,16,32,32,1.000,false,32,0.480,true,4,9,0,0.2168,0.7852,1.4976,411.27,9,,89,PROMOTE
XL,50,2026-04-30_12-31-00-766Z,675,900,337.5,337.0,449.5,181,176,0.2681,51,50,10,13,50,50,0.520,false,51,0.521,true,4,12,0,0.2414,0.5837,0.8392,670.44,12,,89,PROMOTE
XL,48,2026-04-30_12-33-17-234Z,675,900,337.5,337.0,449.5,286,169,0.4237,10,48,10,14,48,48,1.000,false,48,0.501,true,4,10,0,0.2443,0.5956,0.6745,528.23,10,,87,PROMOTE
XL,48,2026-04-30_12-35-25-332Z,675,900,337.5,337.0,449.5,247,177,0.3659,10,48,10,10,47,48,0.572,false,48,0.524,false,5,10,2,0.2094,0.6904,0.4445,405.51,12,,102,unchanged
XL,50,2026-04-30_20-09-43-249Z,675,900,337.5,337.0,449.5,280,125,0.4148,13,10,16,10,10,16,0.252,false,16,0.370,true,5,8,0,0.1702,0.5837,0.3693,403.20,8,,89,ABSTAIN
XL,52,2026-05-01_08-24-07-480Z,675,900,337.5,337.0,449.5,137,186,0.2030,11,15,13,10,1,13,0.434,false,15,0.551,true,5,7,0,0.1503,0.4237,0.2046,276.72,7,,89,ABSTAIN
XL,50,2026-05-01_08-31-05-858Z,675,900,337.5,337.0,449.5,126,184,0.1867,11,50,48,15,48,50,0.000,true,50,0.545,false,6,10,2,0.1572,0.4296,0.0517,414.50,12,,110,unchanged
XL,48,2026-05-01_09-04-04-917Z,675,900,337.5,337.0,449.5,182,180,0.2696,48,49,10,24,48,49,0.688,false,49,0.533,true,5,7,0,0.1061,0.5304,0.7777,241.46,7,,89,PROMOTE
XL,36,2026-05-01_09-09-26-510Z,675,900,337.5,337.0,449.5,189,152,0.2800,39,34,38,38,36,34,0.000,true,39,0.450,false,5,10,3,0.1571,0.4533,1.0319,548.57,13,,85,unchanged
XL,48,2026-05-01_15-00-55-239Z,675,900,337.5,337.0,449.5,314,181,0.4652,13,48,13,15,48,48,1.000,false,48,0.536,false,6,9,3,0.1217,0.4059,0.6065,424.28,12,,82,unchanged
XL,50,2026-05-01_15-08-23-136Z,675,900,337.5,337.0,449.5,179,176,0.2652,50,50,50,24,49,50,1.000,false,50,0.521,false,6,10,2,0.1257,0.4178,0.6144,521.27,12,,82,unchanged
XL,36,2026-05-01_15-30-10-941Z,675,900,337.5,337.0,449.5,177,119,0.2622,36,36,36,36,36,36,0.866,false,36,0.353,false,6,11,2,0.1978,0.4652,0.7566,574.18,13,,88,unchanged
