stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-19_19-24-04-821Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,766,
2026-04-19_19-26-17-731Z,18,Mid    16-20T,18,0.000,0,1,0,0,0,1351,
2026-04-19_19-32-49-661Z,18,Mid    16-20T,22,0.000,0,1,0,4,0,746,
2026-04-19_19-34-56-274Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,981,
2026-04-19_19-37-22-257Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,855,
2026-04-19_19-39-54-752Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,1041,
2026-04-19_19-42-17-872Z,18,Mid    16-20T,18,0.938,1,0,0,0,0,823,
2026-04-19_19-44-35-557Z,15,Small  9-15T,12,0.000,0,1,0,3,0,1117,
2026-04-19_19-52-28-596Z,15,Small  9-15T,15,1.000,1,0,0,0,0,705,
2026-04-19_19-55-01-676Z,15,Small  9-15T,15,1.000,1,0,0,0,0,865,
2026-04-19_19-57-22-929Z,15,Small  9-15T,15,1.000,1,0,0,0,0,864,
2026-04-19_20-05-09-636Z,15,Small  9-15T,10,0.000,0,1,0,5,0,905,
2026-04-19_20-07-45-725Z,14,Small  9-15T,14,1.000,1,0,0,0,0,789,
2026-04-19_20-10-05-159Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1225,
2026-04-19_20-12-01-564Z,14,Small  9-15T,14,1.000,1,0,0,0,0,927,
2026-04-19_20-14-09-805Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1044,
2026-04-19_20-16-28-570Z,11,Small  9-15T,20,0.000,0,1,0,9,0,856,
2026-04-19_20-30-12-936Z,11,Small  9-15T,11,0.706,1,0,0,0,0,864,
2026-04-19_20-32-41-522Z,11,Small  9-15T,12,0.000,0,1,0,1,0,966,
2026-04-19_20-35-09-838Z,11,Small  9-15T,11,1.000,1,0,0,0,0,834,
2026-04-20_15-41-01-931Z,14,Small  9-15T,14,1.000,1,0,0,0,0,701,
2026-04-20_15-43-10-637Z,15,Small  9-15T,15,1.000,1,0,0,0,0,722,
2026-04-20_15-49-33-669Z,15,Small  9-15T,15,1.000,1,0,0,0,0,743,
2026-04-20_15-53-34-450Z,18,Mid    16-20T,44,0.039,0,0,1,26,0,1128,
2026-04-20_15-56-17-709Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,912,
2026-04-20_15-59-51-469Z,21,Large  21-28T,20,0.473,1,0,0,1,0,1550,
2026-04-20_16-03-44-377Z,21,Large  21-28T,21,1.000,1,0,0,0,0,955,
2026-04-20_16-07-50-291Z,21,Large  21-28T,21,1.000,1,0,0,0,0,1384,
2026-04-20_16-18-45-790Z,24,Large  21-28T,24,0.921,1,0,0,0,0,1522,
2026-04-20_16-22-09-223Z,24,Large  21-28T,24,1.000,1,0,0,0,0,1668,
2026-04-20_16-26-12-721Z,24,Large  21-28T,27,0.000,0,1,0,3,0,3050,
2026-04-20_16-29-57-130Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1001,
2026-04-20_16-35-00-142Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1187,
2026-04-20_16-39-16-561Z,28,Large  21-28T,28,0.920,1,0,0,0,0,950,
2026-04-20_18-17-44-209Z,11,Small  9-15T,11,1.000,1,0,0,0,0,757,
2026-04-20_18-19-35-364Z,11,Small  9-15T,11,0.855,1,0,0,0,0,671,
2026-04-20_18-22-07-461Z,11,Small  9-15T,13,0.000,0,1,0,2,0,1079,
2026-04-20_18-24-43-234Z,11,Small  9-15T,22,0.000,0,1,0,11,0,1112,
2026-04-21_05-22-00-958Z,28,Large  21-28T,22,0.000,0,1,0,6,0,1195,
2026-04-21_05-23-42-208Z,28,Large  21-28T,25,0.000,0,1,0,3,0,1057,
2026-04-21_05-25-55-038Z,24,Large  21-28T,44,0.000,0,1,0,20,0,755,
2026-04-21_05-33-16-931Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1280,
2026-04-21_05-42-18-885Z,21,Large  21-28T,20,0.000,0,1,0,1,0,1001,
2026-04-21_05-48-20-813Z,28,Large  21-28T,15,0.000,0,1,0,13,0,1156,
2026-04-21_05-51-52-636Z,28,Large  21-28T,22,0.308,0,0,1,6,0,985,
2026-04-21_05-55-58-591Z,24,Large  21-28T,26,0.000,0,1,0,2,0,929,
2026-04-21_05-59-14-103Z,24,Large  21-28T,11,0.000,0,1,0,13,0,1141,
2026-04-21_06-09-20-021Z,21,Large  21-28T,19,0.000,0,1,0,2,0,1020,
2026-04-21_06-12-45-465Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,721,
2026-04-21_06-14-34-553Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,816,
2026-04-21_06-16-35-545Z,15,Small  9-15T,15,1.000,1,0,0,0,0,793,
2026-04-21_06-18-32-006Z,15,Small  9-15T,18,0.000,0,1,0,3,0,972,
2026-04-21_06-20-54-220Z,14,Small  9-15T,14,0.947,1,0,0,0,0,1019,
2026-04-21_06-23-13-341Z,14,Small  9-15T,21,0.000,0,1,0,7,0,1243,
2026-04-21_06-25-02-778Z,11,Small  9-15T,11,1.000,1,0,0,0,0,706,
2026-04-21_19-00-40-900Z,11,Small  9-15T,11,1.000,1,0,0,0,0,728,
2026-04-21_19-02-17-555Z,11,Small  9-15T,11,0.000,0,1,0,0,0,632,
2026-04-21_19-03-45-218Z,14,Small  9-15T,14,1.000,1,0,0,0,0,691,
2026-04-21_19-06-43-980Z,14,Small  9-15T,14,1.000,1,0,0,0,0,663,
2026-04-21_19-08-20-758Z,15,Small  9-15T,28,0.000,0,1,0,13,0,1165,
2026-04-21_19-09-54-643Z,15,Small  9-15T,15,1.000,1,0,0,0,0,790,
2026-04-21_19-11-37-427Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,772,
2026-04-21_19-18-29-933Z,18,Mid    16-20T,18,0.270,1,0,0,0,0,1268,
2026-04-21_19-20-19-066Z,21,Large  21-28T,10,0.265,0,0,1,11,0,1479,
2026-04-21_19-26-08-385Z,21,Large  21-28T,20,0.000,0,1,0,1,0,1200,
2026-04-21_19-28-49-137Z,21,Large  21-28T,21,0.879,1,0,0,0,0,1295,
2026-04-21_19-30-41-277Z,24,Large  21-28T,28,0.307,0,0,1,4,0,1395,
2026-04-21_19-32-34-507Z,24,Large  21-28T,0,0.000,0,1,0,24,0,1346,
2026-04-21_19-35-44-770Z,28,Large  21-28T,0,0.000,0,1,0,28,0,972,
2026-04-21_19-37-24-880Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1047,
2026-04-22_07-01-01-985Z,28,Large  21-28T,0,0.000,0,1,0,28,0,1047,
2026-04-22_07-03-12-059Z,28,Large  21-28T,10,0.000,0,1,0,18,0,1074,
2026-04-22_07-04-52-734Z,24,Large  21-28T,11,0.436,0,0,1,13,0,1034,
2026-04-22_07-06-35-244Z,24,Large  21-28T,24,0.331,1,0,0,0,0,1158,
2026-04-22_07-08-17-422Z,21,Large  21-28T,21,0.000,0,1,0,0,0,1273,
2026-04-22_07-10-07-868Z,21,Large  21-28T,10,0.000,0,1,0,11,0,1250,
2026-04-22_07-12-08-731Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,713,
2026-04-22_07-13-50-403Z,18,Mid    16-20T,18,0.000,0,1,0,0,0,1145,
2026-04-22_07-15-50-554Z,15,Small  9-15T,15,1.000,1,0,0,0,0,736,
2026-04-22_07-18-18-409Z,15,Small  9-15T,15,1.000,1,0,0,0,0,705,
